#location,latitude,longitude,province,id
An Giang,10.381116,105.419884,AGG,1
Bac Giang,21.29139,106.18694,BGG,2
Bac Lieu,9.25889,105.75194,BLU,3
Bac Ninh,21.18528,106.05639,BNH,4
Ben Tre,10.248371,106.376152,BTE,5
Binh Dinh,14.195163,108.880005,BDH,6
Binh Duong,11.162235,106.625061,BDG,7
Binh Phuoc,11.755781,106.719818,BPC,8
Binh Thuan,10.92222,108.10944,BTN,9
Ca Mau,9.18361,105.15,CMU,10
Can Tho,10.03278,105.78389,CTO,11
Cao Bang,22.685618,106.263084,CBG,12
Da Nang,16.05194,108.21528,DNG,13
Dak Lak,12.766268,108.325195,DLK,14
Dien Bien,21.383333,103.016667,DBN,15
Dong Nai,11.05443,107.146912,DNI,16
Dong Thap,10.575572,105.682983,DTP,17
Gia Lai,13.904742,108.179626,GLI,18
Ha Nam,20.585867,105.923996,HNM,19
Ha Noi,21.03333,105.85,HNI,20
Ha Tinh,18.34083,105.9075,HTH,21
Hai Duong,20.93972,106.3125,HDG,22
Hai Phong,20.86194,106.68028,HPG,23
Hau Giang,9.764551,105.640411,HGG,24
Ho Chi Minh,10.762622,106.660172,HCM,25
Hoa Binh,20.831219,105.339661,HBH,26
Hue,16.46278,107.58472,HUE,27
Hung Yen,20.63667,106.05694,HYN,28
Kien Giang,9.836273,105.125427,KGG,29
Kon Tum,14.35,107.99861,KTM,30
Lam Dong,11.684514,108.141174,LDG,31
Lang Son,21.85417,106.76167,LSN,32
Lao Cai,22.44028,104.00278,LCI,33
Long An,10.691647,106.204834,LAN,34
Nam Dinh,20.42,106.16833,NDH,35
Nghe An,19.176301,104.977112,NAN,36
Nha Trang,12.23889,109.19694,NTG,37
Ninh Binh,20.25111,105.975,NBH,38
Ninh Thuan,11.56667,108.99167,NTN,39
Phu Tho,21.262501,105.125427,PTO,40
Phu Yen,13.090179,109.091492,PYN,41
Quang Binh,17.468573,106.254272,QBH,42
Quang Nam,15.556898,108.036804,QNM,43
Quang Ngai,15.123875,108.811727,QNI,44
Quang Ninh,21.250982,107.193604,QNH,45
Quang Tri,16.830832,107.067261,QTI,46
Soc Trang,9.602781,105.973949,STG,47
Son La,21.328716,103.914528,SLA,48
Tay Ninh,11.367795,106.119003,TNH,49
Thai Binh,20.538935,106.394348,TBH,50
Thai Nguyen,21.564225,105.879364,TNN,51
Thanh Hoa,20.141049,105.309448,THA,52
Tien Giang,10.420288,106.296844,TGG,53
Tra Vinh,9.813946,106.298904,TVH,54
Tuyen Quang,21.777355,105.228424,TQG,55
Vinh Long,10.244823,105.959015,VLG,56
Vinh Phuc,21.363571,105.548401,VPC,57
Vung Tau,10.410157,107.136555,BRU,58
Yen Bai,21.693161,104.872742,YBI,59
